deceptive,hotel,polarity,source,text,sentiment
truthful,conrad,negative,Web,"Booked a room w/ a queen bed for 2 nights for a wonderful NYE, and was rather disappointed. Bed was either the world's smallest queen, or was actually a double, not to mention it was uncomfortably springy. Some of the things in the bathroom had been previously opened and used (q-tips). Lots of noise seemed to carry through the vents as we could hear other rooms rather clearly. When the tv was off, there was a very audible high-pitched humming noise that we could not get rid of unless we unplugged the tv. Hot water was very inconsistent in the shower. It is in a great location, however, next time I will try one of the other hotels in the area like the Intercontinental or Marriott. This might not be too bad if you are passing though quickly on business, but I wouldn't recommend it for a romantic night or two.
",6 41 210
truthful,hyatt,negative,Web,"I arrived and my friends were already there and visiting a nearby art gallery. They put my name on the reservation and told me to get a key from the front desk when I arrived. The front desk staff gave me the key to my room and I put my stuff away and went to meet the group. We returned late that night and I soon realized the room that my friends were in was not the room that I placed my stuff in that afternoon. We went to speak with the front desk. We were met with 'We can't do anything about that right now due to the hour. We will not disrupt the guest staying in the room you say you left your stuff in.' Unacceptable!!! My $1500 laptop and all of the things I brought with me were in that room! Not my mistake! FINALLY, after arguing with the head of security for about 30 minutes, they knocked on the door of the room I had left my belongings in and a lady answered. She was upset and stated she had security take the items from her room in the afternoon. All of my belongings were recovered in the security room; however, all of this hullabaloo could have been avoided had they communicated about the situation! Terrible, terrible customer service. They sent up an apology letter, champagne, and chocolate covered strawberries to the room. Although I was appreciative of the gesture, it still does not excuse the fact that they argued and continued to say 'We can't do anything about it.'
",6 16 235
truthful,hyatt,negative,Web,"This was the 2nd time that we have stayed at the Hyatt Regency Chicago. The first time was far above our expectations for a $69/per night room. The rooms are very nice, and the beds are comfortable. This time we got a great rate through travelzoo @ $104/ night for a room with a view. We were aware of the $41 parking per night. The first night we got there the valet was yelling at us and said that we couldn't park they were full. We had no clue where to park at this point and had to drive around for over 45 minutes looking at closed parking garages. (It was a Saturday evening) Finally found a spot and were told that it would be $38. This was 6 blocks from the hotel. Mind you its -6 outside and we have luggage to carry too. Not very good service for a 5-star hotel. We got inside and apparently they were running a nightclub out of thier lobby, its called the harddrive. That's cool and all, yes it was very noisy but once we got to our room, it wasn't an issue. The HVAC controls to our room were broken. The first night we were ok, but by the second night it was blazing hot in there, 86 degrees. So hot we couldn't sleep. It was miserable. They sent up the 'engineer' and he determined that there was definately a problem and opened our window, 24 floors up. It never did cool down enough in there we kept that window open all night. It was 5 below that night and the window being open 8' didn't help. They would not put us in another room either. At checkout, Monday morning, our bill came to $240.43 after taxes for the room. We then had a second bill in which our internet and parking was billed on for $56.65. Cool, I got my reciepts and went on our way. On Wednesday I was on my online banking checking my account, to find that Hyatt charged me $289.03 and another charge of $103.63!!! That is almost $100 more than what the reciepts from checkout say. I was furious, so I called the hotel. Nothing was resolved by my phone call, they treated me as if $100 isn't but something you wipe with. She said give it another day or two and see if the additional authorization falls off. That didn't settle well with me, but what could I do. I waited. Its Friday now. I check on my account again and the charges cleared as they should have with the correct original amounts, and they still have 'authorizations' on the two incorrect amounts as well. They have charged me an additional $300!!!!!! Im so furious! and guess what... Hyatt doesn't care. They gave me the same [--] line as they did Wednesday. SAVE YOURSELF SOME HASSLE AND DON'T STAY AT THIS HOTEL UNLESS YOU HAVE EXTRA MONEY FOR THEM TO PLAY WITH.
",18 59 179
truthful,omni,negative,Web,"My daughter and I woke in the morning wanting to go swimming. When we arrived at the pool the water was covered by a white scum. I then attempted to use both of the phones at the pool, one white phone and one emergency red phone, to call the desk. Both were out of service!!!! I am glad there wasn't an emergency. As we were exited the pool area I ran into a hotel employee and told her about the problems and then asked her to call us when the pool was clean.... never heard back.
",36 54 166
truthful,hyatt,negative,Web,"They allowed parties to go on all night and booked us in a room with no running water. We called security twice for them to do nothing about the party. When they finally came up about 30 people filed out of that room only to file right back in after about 10 minutes. When we called back nothing was done about it. My 2 year old son was awaken by all the loud music and cursing. THEN we get up the next morning at 7:30 to get ready only to find that we have no running water. After the maintenance man piddles around with it for a half hour we have no time to shower and have to ride the two hour train ride dirty and tired from no sleep. They did not resolve this issue. They just keep passing my complaint to 'managers' supposedly. It was the worst stay of my life and my poor two year old had to be there for it
",3 3 250
truthful,omni,negative,Web,"I have stayed at the Omni off an on over the years. On business, for personal trips. This trip started off quite rocky, and left me very un-impressed. 1) Be aware, they have a new policy where they charge debit card $55 per day for 'incidentals' which you *may* incur. They do this if you elect not to use a standard credit card. Even if you have booked and paid for your room in advance. The desk clerk claimed 'all the hotels do this now'...funny how when I put a remote employee at the O'Hare hilton on my business debit card, I was never asked for additional funds. Having a policy is one thing, spreading blame for it is another. While not a problem for me, someone who plans trips down to the dollar and dime might encounter a problem with this 'policy' of theirs. To my knowledge, they never did this sort of thing before. (I don't use Credit Cards, its why I have money in a recession. =)) 2) Rooms were clean, but their in room accoutrements and mini bar items had no price list. The only thing labelled with a price was a bottle of water (about 600 ML) for $7.50. As such, be careful with the tray of goodies. If the water is $7.50, imagine what the snickers bar might cost. 3) Our suite had a bathroom sliding door between the bedroom and bathroom which appeared broken, and would not move. Calling the front desk resulted in ... nothing. Finally about 9:00 PM I elected to have another look at it, and it seemed to be off its track. I was able to successfully 'fix' it, but the lack of response from maintenance, considering the rate for a suite, is sad. I remember this hotel being much more attentive and responsive. 4) The seem to cut a lot of corners on room stocking now. Overall, I think I will be skipping the Omni, and they will get no more of my business. It seems Hilton treats people better overall. It's quite sad, as I have a lot of good memories with Omni. I will not be back.
",31 95 131
truthful,conrad,negative,Web,"I travel to chicago quite often, and have stayed at a bunch of hotels. I stayed at Conrad a couple of times. My impression was not too good. Both times the receptionist was quite cold and I didn't feel welcome at all. The room was noisy. Thin walls, and you could hear exactly what the next room is talking about. One time the tv was broken too, and a guy came in and took like an hour to fix it... Anyway, given that this is a 4.5 star hotel, it really didnt live up to my expectations. After the 1st time at this hotel, I thought I might give it a second try. After the 2nd time, I decided I am really not coming back, especially given that there are so many other hotels close by. The other attendees of our conferences were also complaining about the hotel. So I guess I am not alone in this...
",6 31 220
truthful,omni,negative,Web,"Complete disappointment. Problems: 1. The alarm clock/stereo thing was broken in my room. It was constantly emitting low, changing hissing noises. Sooo annoying. And there was no off switch on the damn thing. I had to move the bed to unplug it (the outlet was wayyy back, buried behind the big bed). I kept hearing it, and didn't realize what it was, until it had kept me awake for a few hours. 2. The shower was ONLY incredibly hot. Turn it all the way cold...very hot. Turn it to hot, and you get boiling hot. Grrrrreat. So how do I get water that won't scald me? This is very inconvenient early in the morning when you need a shower and are in a hurry, and have to dance into and out of painfully hot water. Good job Omni! 3. Hallway carpets are disgusting and old. Walking around, you'd think you're in a motel 6. And my floor had been flooded or something, and they had box fans running in the hallway, 24/7, to try to dry it out. Talk about an overpriced dump.
",0 46 210
truthful,omni,negative,Web,"I have been meaning to write a review of the Omni but wasn't sure if people would believe it as most of the reviews are quite high. We stayed here for 5 nights. The room was fine when I walked in. But about five minutes or so I was all congested. Thought it might have been from the flight. I then noticed there was dust everywhere. The TV, the Minibar, and worst of all the air vent. It was literally hanging off the vent. I called down to front desk they said they would send housekeeping up. After 30 minutes of waiting and noticing other things. A bathroom door that wouldn't close, broken light fixtures, a toe or fingernail on the bed. broken bathroom fixtures. This place was a dump. Hopefully the pictures will show some of it. I could go on and on. Almost 90 minutes later the hotel manager came up to look at the room, Both he and head of housekeeping were 'shocked' at the room. We were moved to another room, not as large as this one was because the hotel was completely booked, or so I was told. I stayed at the Omni once prior and have to say was very impressed. But this will be the last time. Sad to say. The hotel did cut the rate of our 5 day stay, but doesn't explain how a hotel of this caliber let a room like this pass any inspection.
",6 54 197
truthful,hyatt,negative,Web,"THE ROOM I booked a room here and was told I'd be getting a king bed. When I check in, they say they only have a queen bed room available. I protested to no avail. When I got to the room, it was really only a full size bed. So I went from from a king bed at home to a full size bed in a tiny broom closet of a room in Chicago. For the pleasure, I paid the same price as a normal king bed room. The full size bed we had was also extremely uncomfortable. I think it was lop sided because they never rotate the mattresses. We would wake up with body aches and headaches. My wife even said she lost feeling in her arms some nights. Not good. Also, the internet in the room is hard to set-up, slow to use, and inconsistent. I generally had to restart my computer at least once to get the internet to work. The internet worked one day on my iPhone and then would not log me in. It's not really worth it. ROOM SERVICE Room service was very inconsistent and nonsensical. Some mornings they would take our towels (even the ones we hung up to use again) and not replace them, other times they would replace some towels and not others. They would also come at vastly different times. HOTEL SERVICE This hotel LOVES to nickel and dime. I asked for a fridge in the room and they told me it'd be $25. No other hotel I've ever stayed in (regardless of how many stars it had) has ever charged me for a fridge in the room. Late checkout? charge. Shuttle from the airport? - nonexistent. The front deck 'gold passport' people can't even figure out how to get you points. In the end I will have to call corporate and get my points for my stay (not that i plan on staying at a Hyatt property again). By the way, apparently the hotel is still undergoing changes because my mini-bar was missing. I was thinking of using it as a fridge instead of paying $25. THE HOTEL The hotel has some cool bars and a beautiful lobby area in the east tower. The west tower has some underground amenities no one uses. The bars are extremely expensive, but the drinks are tasty. The food is edible too, but I wouldn't brag about it. The hotel is not directly on the main street (Michigan), but it's not too far from it. It's right next to the boat tours and, in some rooms, has a view of the Navy Pier. Our room faced another hotel, but we could see a sliver of the pier. The hotel is walking distance from Millennium Park. It's a bit of a walk to any of the L stations though. If you want a wonderful breakfast place, go to Wildberry on Randolph st. It'll have you waiting to eat for a long time, but it's yummy! CONCLUSION I get better rooms, better beds, better service, and better amenities at a Holiday Inn Express or a Best Western. Save the money and stay elsewhere.
",11 97 148
